image channels: 3
Y: 100
X 100
Pixel value: 
[0 , 0][116 134 225],
[3 , 6][110 136 226],
[3 , 7][112 141 230],
[3 , 8][116 144 233],
[3 , 9][114 143 239],
[3 , 10][109 133 239],
[3 , 11][107 123 229],
[3 , 12][90 106 214],
[3 , 13][69 80 190],
[3 , 14][62 53 166],
[3 , 15][67 44 155],
[3 , 16][75 52 153],
[3 , 17][81 55 157],
[3 , 18][82 56 158],
[3 , 19][81 58 161],
[3 , 20][81 58 161],
[3 , 21][79 57 160],
[3 , 22][73 57 159],
[3 , 23][74 58 160],
[3 , 24][76 61 163],
[3 , 25][76 65 170],
[3 , 26][76 65 172],
[3 , 27][77 66 173],
[3 , 28][79 65 177],
[3 , 29][78 63 177],
[3 , 30][76 61 175],
[3 , 31][74 61 170],
[3 , 32][74 61 168],
[3 , 33][77 64 171],
[3 , 34][78 64 172],
[3 , 35][83 68 175],
[3 , 36][81 67 173],
[3 , 37][77 66 175],
[3 , 38][74 66 178],
[3 , 39][73 65 178],
[3 , 40][74 65 177],
[3 , 41][78 66 175],
[3 , 42][78 67 175],
[3 , 43][79 67 175],
[3 , 44][82 65 175],
[3 , 45][81 63 173],
[3 , 46][79 62 172],
[3 , 47][76 65 175],
[3 , 48][76 66 176],
[3 , 49][77 67 177],
[3 , 50][75 66 168],
[3 , 51][70 60 161],
[3 , 52][67 57 159],
[3 , 53][72 59 157],
[3 , 54][72 58 155],
[3 , 55][66 53 151],
[3 , 56][67 50 142],
[3 , 57][66 48 138],
[3 , 58][60 44 134],
[3 , 59][64 39 130],
[3 , 60][72 37 130],
[3 , 61][68 33 125],
[3 , 62][63 36 127],
[3 , 63][58 39 130],
[3 , 64][60 40 131],
[3 , 65][60 38 130],
[3 , 66][60 32 129],
[3 , 67][59 32 130],
[3 , 68][60 31 125],
[3 , 69][68 34 121],
[3 , 70][64 29 116],
[3 , 71][61 27 114],
[3 , 72][65 33 119],
[3 , 73][70 39 125],
[3 , 74][64 32 117],
[3 , 75][55 23 98],
[3 , 76][58 22 97],
[3 , 77][66 24 100],
[3 , 78][69 40 121],
[3 , 79][95 76 149],
[3 , 80][128 112 171],
[3 , 81][152 150 186],
[3 , 82][157 159 189],
[3 , 83][163 165 196],
[3 , 84][166 167 197],
[3 , 85][168 169 198],
[3 , 86][166 167 196],
[3 , 87][167 168 197],
[3 , 88][167 167 198],
[3 , 89][161 161 192],
[3 , 90][165 166 195],
[3 , 91][166 170 197],
[3 , 92][163 169 198],
[3 , 93][158 163 195],
[3 , 94][159 158 194],
[3 , 95][153 150 187],
[3 , 96][146 140 178],
[3 , 97][148 136 183],
[3 , 98][159 153 199],
[3 , 99][149 149 195],


[4 , 0][108 132 222],
[4 , 1][108 132 222],
[4 , 2][107 131 221],
[4 , 3][107 131 221],
[4 , 4][108 132 222],
[4 , 5][112 136 225],
[4 , 6][113 141 230],
[4 , 7][116 147 236],
[4 , 8][111 142 229],
[4 , 9][100 128 228],
[4 , 10][93 115 227],
[4 , 11][84 95 209],
[4 , 12][63 65 176],
[4 , 13][54 46 155],
[4 , 14][66 43 155],
[4 , 15][75 46 158],
[4 , 16][71 56 163],
[4 , 17][70 55 162],
[4 , 18][69 54 161],
[4 , 19][71 56 163],
[4 , 20][73 58 165],
[4 , 21][74 59 166],
[4 , 22][65 53 160],
[4 , 23][66 54 161],
[4 , 24][68 57 164],
[4 , 25][68 60 173],
[4 , 26][69 62 175],
[4 , 27][72 65 178],
[4 , 28][72 64 180],
[4 , 29][71 63 179],
[4 , 30][69 61 177],
[4 , 31][70 63 177],
[4 , 32][71 64 177],
[4 , 33][74 67 180],
[4 , 34][73 68 181],
[4 , 35][75 72 185],
[4 , 36][75 72 184],
[4 , 37][72 71 184],
[4 , 38][71 71 185],
[4 , 39][67 67 181],
[4 , 40][65 63 176],
[4 , 41][65 59 169],
[4 , 42][64 58 168],
[4 , 43][66 58 168],
[4 , 44][71 58 169],
[4 , 45][69 56 167],
[4 , 46][69 55 166],
[4 , 47][79 56 168],
[4 , 48][79 55 167],
[4 , 49][78 54 166],
[4 , 50][73 50 158],
[4 , 51][66 43 152],
[4 , 52][63 40 149],
[4 , 53][67 40 145],
[4 , 54][68 40 143],
[4 , 55][62 34 138],
[4 , 56][60 29 127],
[4 , 57][62 30 126],
[4 , 58][57 25 123],
[4 , 59][57 23 112],
[4 , 60][60 23 102],
[4 , 61][54 16 96],
[4 , 62][51 17 106],
[4 , 63][59 28 126],
[4 , 64][71 38 135],
[4 , 65][68 39 136],
[4 , 66][59 37 135],
[4 , 67][58 36 134],
[4 , 68][64 42 137],
[4 , 69][75 53 141],
[4 , 70][75 53 141],
[4 , 71][79 58 146],
[4 , 72][87 70 164],
[4 , 73][87 71 166],
[4 , 74][80 64 159],
[4 , 75][76 58 144],
[4 , 76][70 44 130],
[4 , 77][68 30 119],
[4 , 78][55 26 117],
[4 , 79][60 38 124],
[4 , 80][75 54 131],
[4 , 81][94 83 142],
[4 , 82][113 105 158],
[4 , 83][116 107 161],
[4 , 84][114 106 156],
[4 , 85][121 115 161],
[4 , 86][128 122 168],
[4 , 87][134 128 175],
[4 , 88][139 133 179],
[4 , 89][142 135 182],
[4 , 90][148 145 187],
[4 , 91][153 161 188],
[4 , 92][162 170 197],
[4 , 93][170 178 203],
[4 , 94][170 176 198],
[4 , 95][167 174 196],
[4 , 96][165 172 194],
[4 , 97][179 188 213],
[4 , 98][188 205 229],
[4 , 99][173 200 222],


[5 , 0][108 132 222],
[5 , 1][107 131 221],
[5 , 2][105 128 218],
[5 , 3][107 131 221],
[5 , 4][110 133 223],
[5 , 5][118 141 231],
[5 , 6][115 144 233],
[5 , 7][113 143 232],
[5 , 8][106 136 223],
[5 , 9][92 121 220],
[5 , 10][84 105 217],
[5 , 11][82 93 206],
[5 , 12][84 87 198],
[5 , 13][86 86 194],
[5 , 14][85 88 196],
[5 , 15][86 88 198],
[5 , 16][88 88 204],
[5 , 17][85 86 201],
[5 , 18][84 85 200],
[5 , 19][84 85 200],
[5 , 20][84 85 200],
[5 , 21][85 85 200],
[5 , 22][88 82 198],
[5 , 23][86 79 196],
[5 , 24][87 80 197],
[5 , 25][81 79 201],
[5 , 26][82 80 202],
[5 , 27][84 83 205],
[5 , 28][84 84 201],
[5 , 29][84 85 199],
[5 , 30][84 85 199],
[5 , 31][86 86 206],
[5 , 32][87 86 208],
[5 , 33][88 86 208],
[5 , 34][83 89 210],
[5 , 35][78 92 212],
[5 , 36][78 92 211],
[5 , 37][82 93 209],
[5 , 38][86 93 206],
[5 , 39][80 88 201],
[5 , 40][77 84 196],
[5 , 41][77 81 188],
[5 , 42][77 81 188],
[5 , 43][79 80 188],
[5 , 44][83 79 188],
[5 , 45][82 78 187],
[5 , 46][80 76 185],
[5 , 47][80 75 184],
[5 , 48][80 75 184],
[5 , 49][80 75 185],
[5 , 50][76 69 185],
[5 , 51][70 62 179],
[5 , 52][67 58 175],
[5 , 53][71 60 171],
[5 , 54][72 59 169],
[5 , 55][65 52 163],
[5 , 56][66 50 156],
[5 , 57][68 51 154],
[5 , 58][65 48 152],
[5 , 59][65 49 149],
[5 , 60][61 45 140],
[5 , 61][54 40 134],
[5 , 62][58 42 141],
[5 , 63][75 57 162],
[5 , 64][91 73 177],
[5 , 65][98 82 184],
[5 , 66][97 84 180],
[5 , 67][93 79 175],
[5 , 68][93 81 177],
[5 , 69][93 88 184],
[5 , 70][91 85 180],
[5 , 71][83 78 174],
[5 , 72][84 82 183],
[5 , 73][84 83 185],
[5 , 74][89 88 190],
[5 , 75][85 79 181],
[5 , 76][75 61 164],
[5 , 77][66 42 147],
[5 , 78][55 25 128],
[5 , 79][51 23 117],
[5 , 80][51 27 111],
[5 , 81][54 25 109],
[5 , 82][54 23 109],
[5 , 83][45 14 99],
[5 , 84][43 14 95],
[5 , 85][45 17 94],
[5 , 86][51 23 101],
[5 , 87][54 26 103],
[5 , 88][65 37 114],
[5 , 89][78 49 127],
[5 , 90][78 53 127],
[5 , 91][83 66 133],
[5 , 92][99 81 149],
[5 , 93][113 99 162],
[5 , 94][117 113 163],
[5 , 95][118 114 164],
[5 , 96][123 119 170],
[5 , 97][135 145 187],
[5 , 98][160 180 220],
[5 , 99][152 181 220],


[6 , 0][103 131 221],
[6 , 1][103 131 221],
[6 , 2][105 133 223],
[6 , 3][111 140 229],
[6 , 4][114 142 231],
[6 , 5][117 145 234],
[6 , 6][117 145 239],
[6 , 7][113 141 237],
[6 , 8][106 133 229],
[6 , 9][97 124 222],
[6 , 10][93 119 220],
[6 , 11][99 122 224],
[6 , 12][104 126 227],
[6 , 13][104 129 228],
[6 , 14][100 127 226],
[6 , 15][99 126 227],
[6 , 16][104 126 229],
[6 , 17][102 124 227],
[6 , 18][102 123 226],
[6 , 19][104 122 226],
[6 , 20][103 121 225],
[6 , 21][103 121 224],
[6 , 22][106 121 225],
[6 , 23][105 120 224],
[6 , 24][104 119 223],
[6 , 25][100 118 229],
[6 , 26][100 118 229],
[6 , 27][100 118 229],
[6 , 28][100 120 225],
[6 , 29][100 121 224],
[6 , 30][103 124 227],
[6 , 31][105 125 230],
[6 , 32][104 124 230],
[6 , 33][103 123 229],
[6 , 34][101 124 229],
[6 , 35][100 125 230],
[6 , 36][100 125 230],
[6 , 37][102 125 229],
[6 , 38][103 125 228],
[6 , 39][102 124 227],
[6 , 40][101 123 226],
[6 , 41][101 122 224],
[6 , 42][99 121 222],
[6 , 43][99 120 221],
[6 , 44][103 119 221],
[6 , 45][103 119 221],
[6 , 46][103 118 221],
[6 , 47][106 117 221],
[6 , 48][106 118 221],
[6 , 49][106 118 221],
[6 , 50][100 117 221],
[6 , 51][99 115 220],
[6 , 52][99 115 220],
[6 , 53][100 116 219],
[6 , 54][100 116 219],
[6 , 55][99 115 218],
[6 , 56][102 112 215],
[6 , 57][103 111 214],
[6 , 58][103 111 214],
[6 , 59][100 112 215],
[6 , 60][95 112 216],
[6 , 61][93 109 213],
[6 , 62][96 108 212],
[6 , 63][108 115 218],
[6 , 64][112 120 224],
[6 , 65][114 122 222],
[6 , 66][116 124 217],
[6 , 67][118 126 219],
[6 , 68][118 127 221],
[6 , 69][116 126 222],
[6 , 70][115 125 221],
[6 , 71][109 118 215],
[6 , 72][101 110 213],
[6 , 73][102 111 214],
[6 , 74][104 113 216],
[6 , 75][100 115 218],
[6 , 76][99 113 216],
[6 , 77][90 101 204],
[6 , 78][84 86 190],
[6 , 79][85 85 187],
[6 , 80][86 87 186],
[6 , 81][87 86 187],
[6 , 82][85 82 184],
[6 , 83][82 79 182],
[6 , 84][81 79 180],
[6 , 85][77 76 175],
[6 , 86][70 69 169],
[6 , 87][69 68 168],
[6 , 88][70 68 168],
[6 , 89][68 66 166],
[6 , 90][65 63 164],
[6 , 91][59 58 160],
[6 , 92][60 59 162],
[6 , 93][63 63 164],
[6 , 94][68 67 164],
[6 , 95][69 68 165],
[6 , 96][73 72 168],
[6 , 97][83 81 175],
[6 , 98][92 91 185],
[6 , 99][93 94 188],


[7 , 0][109 139 228],
[7 , 1][109 139 228],
[7 , 2][113 144 233],
[7 , 3][114 144 233],
[7 , 4][112 142 231],
[7 , 5][111 141 230],
[7 , 6][113 140 236],
[7 , 7][109 136 234],
[7 , 8][107 134 233],
[7 , 9][109 136 234],
[7 , 10][109 136 233],
[7 , 11][111 139 236],
[7 , 12][112 140 237],
[7 , 13][113 141 238],
[7 , 14][115 142 240],
[7 , 15][115 142 240],
[7 , 16][114 142 239],
[7 , 17][112 140 237],
[7 , 18][112 139 236],
[7 , 19][116 138 236],
[7 , 20][114 136 234],
[7 , 21][112 134 232],
[7 , 22][116 138 236],
[7 , 23][115 137 234],
[7 , 24][113 135 233],
[7 , 25][111 138 239],
[7 , 26][111 138 239],
[7 , 27][111 137 238],
[7 , 28][112 140 235],
[7 , 29][112 141 234],
[7 , 30][114 144 237],
[7 , 31][115 145 237],
[7 , 32][114 144 236],
[7 , 33][115 144 236],
[7 , 34][115 144 236],
[7 , 35][115 144 236],
[7 , 36][115 144 236],
[7 , 37][115 144 237],
[7 , 38][115 144 237],
[7 , 39][115 144 237],
[7 , 40][115 144 237],
[7 , 41][116 145 238],
[7 , 42][114 143 237],
[7 , 43][114 142 236],
[7 , 44][118 141 236],
[7 , 45][118 142 236],
[7 , 46][119 142 236],
[7 , 47][123 140 235],
[7 , 48][123 140 235],
[7 , 49][123 141 236],
[7 , 50][119 144 237],
[7 , 51][119 144 237],
[7 , 52][119 144 237],
[7 , 53][118 144 237],
[7 , 54][118 144 237],
[7 , 55][119 144 238],
[7 , 56][121 141 236],
[7 , 57][121 140 235],
[7 , 58][121 139 235],
[7 , 59][119 139 234],
[7 , 60][117 141 235],
[7 , 61][118 142 236],
[7 , 62][118 139 234],
[7 , 63][120 138 233],
[7 , 64][120 139 234],
[7 , 65][120 139 233],
[7 , 66][120 140 231],
[7 , 67][122 142 233],
[7 , 68][123 144 234],
[7 , 69][124 145 233],
[7 , 70][125 145 234],
[7 , 71][121 141 231],
[7 , 72][118 136 230],
[7 , 73][120 137 233],
[7 , 74][121 139 234],
[7 , 75][116 139 233],
[7 , 76][114 138 232],
[7 , 77][112 136 230],
[7 , 78][113 133 228],
[7 , 79][115 134 230],
[7 , 80][118 138 234],
[7 , 81][117 137 233],
[7 , 82][117 137 233],
[7 , 83][118 138 233],
[7 , 84][118 139 234],
[7 , 85][119 139 235],
[7 , 86][119 139 235],
[7 , 87][117 138 234],
[7 , 88][116 136 232],
[7 , 89][114 134 229],
[7 , 90][112 132 227],
[7 , 91][111 130 226],
[7 , 92][107 126 222],
[7 , 93][107 125 221],
[7 , 94][112 124 221],
[7 , 95][108 120 218],
[7 , 96][105 117 215],
[7 , 97][111 117 216],
[7 , 98][110 115 215],
[7 , 99][110 115 214],


[8 , 0][115 145 234],
[8 , 1][115 145 234],
[8 , 2][117 147 236],
[8 , 3][114 144 233],
[8 , 4][111 141 230],
[8 , 5][106 136 225],
[8 , 6][106 134 229],
[8 , 7][106 133 231],
[8 , 8][106 133 231],
[8 , 9][108 135 233],
[8 , 10][109 136 234],
[8 , 11][114 141 239],
[8 , 12][114 141 239],
[8 , 13][113 140 238],
[8 , 14][114 141 239],
[8 , 15][114 141 239],
[8 , 16][114 141 239],
[8 , 17][114 141 239],
[8 , 18][115 141 239],
[8 , 19][119 140 239],
[8 , 20][119 140 239],
[8 , 21][118 139 238],
[8 , 22][115 136 235],
[8 , 23][117 138 237],
[8 , 24][119 141 239],
[8 , 25][117 146 237],
[8 , 26][117 146 237],
[8 , 27][116 144 236],
[8 , 28][118 149 234],
[8 , 29][119 151 234],
[8 , 30][120 151 235],
[8 , 31][120 151 234],
[8 , 32][120 151 234],
[8 , 33][120 151 235],
[8 , 34][120 151 235],
[8 , 35][120 151 234],
[8 , 36][119 151 234],
[8 , 37][119 151 235],
[8 , 38][120 151 235],
[8 , 39][119 150 234],
[8 , 40][119 150 234],
[8 , 41][120 151 235],
[8 , 42][120 151 234],
[8 , 43][121 151 234],
[8 , 44][125 150 234],
[8 , 45][127 151 236],
[8 , 46][128 153 237],
[8 , 47][121 153 236],
[8 , 48][121 153 236],
[8 , 49][122 154 237],
[8 , 50][118 155 238],
[8 , 51][118 156 239],
[8 , 52][120 158 241],
[8 , 53][120 157 241],
[8 , 54][120 157 241],
[8 , 55][120 157 240],
[8 , 56][124 156 240],
[8 , 57][125 156 240],
[8 , 58][123 154 238],
[8 , 59][122 150 235],
[8 , 60][125 150 235],
[8 , 61][127 152 237],
[8 , 62][123 152 236],
[8 , 63][119 150 234],
[8 , 64][118 150 233],
[8 , 65][118 149 234],
[8 , 66][118 147 238],
[8 , 67][119 148 239],
[8 , 68][124 155 241],
[8 , 69][125 159 235],
[8 , 70][125 159 235],
[8 , 71][125 159 235],
[8 , 72][122 154 238],
[8 , 73][122 154 238],
[8 , 74][122 154 238],
[8 , 75][125 149 235],
[8 , 76][124 149 235],
[8 , 77][124 150 235],
[8 , 78][119 148 233],
[8 , 79][118 150 233],
[8 , 80][123 155 238],
[8 , 81][125 157 240],
[8 , 82][125 157 241],
[8 , 83][125 157 241],
[8 , 84][125 157 241],
[8 , 85][125 157 241],
[8 , 86][123 155 239],
[8 , 87][124 156 240],
[8 , 88][126 157 241],
[8 , 89][124 155 239],
[8 , 90][122 153 237],
[8 , 91][119 150 235],
[8 , 92][122 153 237],
[8 , 93][124 154 238],
[8 , 94][128 152 237],
[8 , 95][128 152 238],
[8 , 96][128 152 238],
[8 , 97][122 153 237],
[8 , 98][122 153 237],
[8 , 99][122 153 237],


[9 , 0][117 151 238],
[9 , 1][117 151 238],
[9 , 2][113 148 235],
[9 , 3][114 144 232],
[9 , 4][113 141 229],
[9 , 5][109 137 225],
[9 , 6][106 136 229],
[9 , 7][105 136 231],
[9 , 8][106 136 231],
[9 , 9][106 136 232],
[9 , 10][108 138 234],
[9 , 11][112 142 237],
[9 , 12][111 141 237],
[9 , 13][110 140 236],
[9 , 14][109 139 234],
[9 , 15][109 139 234],
[9 , 16][110 140 236],
[9 , 17][111 142 237],
[9 , 18][113 141 237],
[9 , 19][116 139 236],
[9 , 20][116 139 236],
[9 , 21][116 139 236],
[9 , 22][114 137 234],
[9 , 23][115 138 235],
[9 , 24][116 140 236],
[9 , 25][113 144 234],
[9 , 26][114 146 235],
[9 , 27][118 150 239],
[9 , 28][118 152 236],
[9 , 29][118 152 234],
[9 , 30][118 152 234],
[9 , 31][118 152 234],
[9 , 32][118 152 234],
[9 , 33][117 151 233],
[9 , 34][118 152 234],
[9 , 35][118 153 234],
[9 , 36][117 151 233],
[9 , 37][117 151 233],
[9 , 38][117 151 233],
[9 , 39][118 153 235],
[9 , 40][118 153 235],
[9 , 41][118 152 234],
[9 , 42][118 153 235],
[9 , 43][119 153 235],
[9 , 44][121 152 235],
[9 , 45][122 153 235],
[9 , 46][122 154 236],
[9 , 47][121 158 239],
[9 , 48][120 157 239],
[9 , 49][119 156 238],
[9 , 50][116 158 234],
[9 , 51][117 159 235],
[9 , 52][120 161 237],
[9 , 53][119 163 238],
[9 , 54][118 164 239],
[9 , 55][120 165 240],
[9 , 56][122 164 240],
[9 , 57][123 164 240],
[9 , 58][120 163 238],
[9 , 59][120 157 233],
[9 , 60][125 155 232],
[9 , 61][126 156 234],
[9 , 62][122 156 235],
[9 , 63][117 155 236],
[9 , 64][119 156 238],
[9 , 65][120 156 237],
[9 , 66][121 157 235],
[9 , 67][121 157 236],
[9 , 68][123 160 238],
[9 , 69][121 162 236],
[9 , 70][121 162 236],
[9 , 71][122 162 236],
[9 , 72][124 157 235],
[9 , 73][124 157 236],
[9 , 74][124 157 236],
[9 , 75][121 156 231],
[9 , 76][123 153 232],
[9 , 77][125 149 231],
[9 , 78][115 150 229],
[9 , 79][115 154 231],
[9 , 80][118 156 234],
[9 , 81][122 158 236],
[9 , 82][123 159 237],
[9 , 83][123 159 237],
[9 , 84][125 159 237],
[9 , 85][126 158 237],
[9 , 86][122 155 234],
[9 , 87][120 157 235],
[9 , 88][119 160 237],
[9 , 89][118 159 236],
[9 , 90][116 158 235],
[9 , 91][115 158 232],
[9 , 92][114 158 232],
[9 , 93][119 158 233],
